ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM1649419777,0,0.0,0,0,0,0,0
MLM1888703911,0,0.0,0,0,0,0,0
MLM1757904551,0,0.0,0,0,0,0,0
MLM1971545487,0,0.0,0,0,0,0,0
MLM1984032673,0,0.0,0,0,0,0,0
MLM1370740439,0,0.0,0,0,0,0,0
MLM820077033,2,5.0,0,0,0,0,2
MLM1805211287,0,0.0,0,0,0,0,0
MLM1810392004,0,0.0,0,0,0,0,0
MLM2548360032,0,0.0,0,0,0,0,0
MLM2756212718,0,0.0,0,0,0,0,0
MLM2801414448,0,0.0,0,0,0,0,0
MLM1476218749,0,0.0,0,0,0,0,0
MLM1343860320,1,5.0,0,0,0,0,1
MLM1853482041,0,0.0,0,0,0,0,0
MLM1904015489,0,0.0,0,0,0,0,0
MLM2472714908,0,0.0,0,0,0,0,0
MLM2749560964,0,0.0,0,0,0,0,0
MLM1974615055,0,0.0,0,0,0,0,0
MLM2254345808,0,0.0,0,0,0,0,0
MLM2783112214,0,0.0,0,0,0,0,0
MLM2737723668,0,0.0,0,0,0,0,0
MLM2749585472,0,0.0,0,0,0,0,0
MLM2004189585,0,0.0,0,0,0,0,0
MLM822587599,0,0.0,0,0,0,0,0
MLM1359158606,1,5.0,0,0,0,0,1
MLM1732183816,0,0.0,0,0,0,0,0
MLM1955833937,0,0.0,0,0,0,0,0
MLM2661612502,0,0.0,0,0,0,0,0
MLM2753290716,0,0.0,0,0,0,0,0
MLM1974130731,0,0.0,0,0,0,0,0
MLM2251734124,0,0.0,0,0,0,0,0
MLM2659619758,0,0.0,0,0,0,0,0
MLM1972069889,0,0.0,0,0,0,0,0
MLM1981888515,0,0.0,0,0,0,0,0
MLM796407077,0,0.0,0,0,0,0,0
MLM957513815,2,4.0,0,0,1,0,1
MLM958691479,1,5.0,0,0,0,0,1
MLM1958189717,0,0.0,0,0,0,0,0
MLM1346520787,0,0.0,0,0,0,0,0
MLM1780040021,0,0.0,0,0,0,0,0
MLM1971844293,0,0.0,0,0,0,0,0
MLM1978511291,0,0.0,0,0,0,0,0
MLM2343656560,0,0.0,0,0,0,0,0
MLM2618299672,0,0.0,0,0,0,0,0
MLM2771404668,0,0.0,0,0,0,0,0
MLM2801764180,0,0.0,0,0,0,0,0
MLM2802322288,0,0.0,0,0,0,0,0
MLM1770644934,0,0.0,0,0,0,0,0
MLM2682893420,0,0.0,0,0,0,0,0
